rank,variant,logloss_mean,logloss_std,brier_mean,brier_std,ece_mean,ece_std,promote_count_total,hold_count_total,promote_rate,consistent_promote,consistent_hold,loto_types_evaluated
1,settransformer,0.5371165533860525,0.07929732169259872,0.1759283592303594,0.03625359629791117,0.18400409122308095,0.062102695967914574,0,15,0.0,false,true,loto6|loto7|miniloto
2,multihot,0.5471190551916759,0.07088901593039439,0.18011648058891297,0.03254570966651861,0.1978552540143331,0.05173368206008086,0,15,0.0,false,true,loto6|loto7|miniloto
3,deepsets,0.5560862481594085,0.07205422024258494,0.18400756418704986,0.0337231591392973,0.21049386560916902,0.04834960233613065,0,15,0.0,false,true,loto6|loto7|miniloto
4,legacy,0.5602647105852764,0.07080963196663789,0.18600812554359436,0.03308869892918452,0.21458031038443248,0.04770169785582597,0,0,0.0,false,false,loto6|loto7|miniloto
